shortCode,name,productId,status,productDescription,investmentObjective,benchmarkName,benchmarkDescription,distributionPolicy,rawHash,rawPath
"0163Y0","KoAct 코스닥액티브","2ETFU6","ok","코스닥 주도주와 성장이 기대되는 산업에 투자하는 액티브 ETF","코스닥 유망산업 핵심주를 선별하여 집중 투자 예정: 제약바이오, 반도체소부장, 우주항공/방산 등 신성장 산업별 주도주를 선별하여 집중 투자 예정; 중소형주 운용의 강점과 리서치의 전문성: 중소형주 투자의 오랜 트랙레코드, 탄탄한 리서치 기반으로 풍부한 종목 유니버스 활용 가능; 코스닥 육성 정책 기대감: 정부가 ‘코스닥3000시대’를 위한 핵심 전략 발표, 코스닥 신뢰+혁신 제고로 기관 자금 유입 기대 * 금융위원회 보도자료 (’25.12.19) ‘코스닥 시장 신뢰+혁신 제고 방안’","코스닥 지수","코스닥 관련 상장 종목들로 구성된 테마 지수","지급 (지급 기준일 : 1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. 영업일이 아닌 경우 그 직전 영업일) ※지급 기준일은 참고사항으로, 실제 지급일은 아래 '분배금 지급현황'을 확인","ba349f959492e9240e2e7a4da1ec25bc2f8bcbd35e7388dd787c39903c6ed7ac","data/raw/metadata-v2/koact-product/pages/2026-07-21/0163Y0/2026-07-21T07-43-09-451Z.ba349f959492e924.json"
"0174B0","KoAct 글로벌AI메모리반도체액티브","2ETFU5","ok","AI가 촉발한 메모리 반도체 수퍼사이클","AI가 촉발한 메모리 반도체 수퍼사이클 진입 평가: AI 확산에 따른 메모리 반도체 산업의 구조적 성장기 진입 판단 AI 추론 확산에 따라 메모리 수요 급증, 피지컬AI도 메모리반도체의 추가 수요 기대; 숏티지 심화로 메모리 증설 재개, 소부장 수혜 기대: HBM뿐 아니라 범용 메모리 (DRAM / NAND / HDD)도 수요 급증으로 공급 부족 전망 메모리반도체 증설 사이클 재개로 반도체 소부장 수혜 기대; AI고도화에 따라 차세대 메모리에 액티브 투자 추구: AI로 인해 범용 메모리 및 HBM 뿐만 아니라, 다양한 선단 메모리 제품 수요가 발생 기대 SoCAMM, HBF, LPW, PIM 등 향후 차세대 메모리 기술 로드맵에 따라 고속 성장하는 주도 기업에 액티브하게 투자 추구","Solactive 글로벌AI메모리반도체 PR 지수","Solactive 글로벌AI메모리반도체 PR 지수는 글로벌 AI 메모리 반도체 밸류체인 관련 산업을 영위하는 종목들로 구성된 테마 지수로, Factset의 RBICS 및 ARTIS 키워드 기반으로 종목 선정하여 지수를 산출함.","지급 (지급 기준일 : 1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. 영업일이 아닌 경우 그 직전 영업일) ※지급 기준일은 참고사항으로, 실제 지급일은 아래 '분배금 지급현황'을 확인","e00a8153a19f8af4dc87d697bb4a144e377c8cc5df7d3774614f685af870b956","data/raw/metadata-v2/koact-product/pages/2026-07-21/0174B0/2026-07-21T07-43-10-885Z.e00a8153a19f8af4.json"
"0186L0","KoAct 미국로봇피지컬AI액티브","2ETFU7","ok","AI 2.0, 피지컬 AI 산업에 보다 빠른 투자를 추구하는 ETF","휴머노이드, 그 이상으로 4배 확장되는 피지컬 AI 산업: 휴머노이드 로봇이 피지컬 AI 산업에서 차지하는 비중은 ¼ 수준으로 모빌리티, 건설장비, 물류로봇, 스마트 글라스 등 플랫폼 확장을 통해 피지컬 AI 시장은 ’24년 9억달러 → ’35년 2조달러로 약 2,000배 성장 전망 (산업자료, LS증권 2026.3.17); 기술 트렌드 및 주도 기업 변화에 맞춰 액티브 운용: ’23년 Nvidia → ’24년 Tesla → ’25년 SanDisk → ’26년 Teradyne 으로 이어질 것으로 기대되는 AI산업 주도 기업 변화에서 빠른 시장 대응을 추구하는 액티브 운용이 유리하다고 판단; 미국 증시 상장을 앞두고 있는 피지컬 AI 주요 기업들: Boston Dynamics, OpenAI, Anthropic 등 주요 피지컬 AI 기업들은 IPO 준비 작업 돌입 ※ 현재 해당 기업들은 지수 내 포함되지 않은 비상장 기업으로, 상장 후 지수 내 편입 예정이며, 상장 시점 및 여부는 시장상황에 따라 달라질 수 있습니다. (Reuters 2025.10.30, 디일렉 2026.1.12, Seeking Alpha 2026.1.20)","iSelect 미국로봇피지컬AI 지수","미국 주식시장 상장 기업 중 피지컬 AI 와 관련된 모바일 로봇 수술용 로봇, 휴머노이드로봇, 소프트웨어(AI 및 플랫폼 지능형 서비스로봇 부품 개발 및 생산하는 기업과 피지컬 AI 관련 회사에 투자한 기업으로 구성. NLP(자연어처리) 기법을 활용한 테마지수이며, NLP스코어를 기준으로 피지컬AI 테마와 관련성이 높은 종목을 선정.","지급 (지급 기준일 : 1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. 영업일이 아닌 경우 그 직전 영업일) ※ 지급 기준일은 참고사항으로, 실제 지급일은 아래 '분배금 지급현황'을 확인","97823d41d6d6df3fc3ec16aefc7c5a2e7bc788a9c4c4385dbf884b308c1e536b","data/raw/metadata-v2/koact-product/pages/2026-07-21/0186L0/2026-07-21T07-43-12-367Z.97823d41d6d6df3f.json"
"0193G0","KoAct 코스피액티브","2ETFV2","ok","글로벌 증시 중심에 선 코스피, 이제 선택과 집중 투자로 승부","우리나라 대표지수 코스피에 투자: 사상 최고치 경신에도 가파른 이익 성장이 기대되어 여전히 매력적이라 판단되는 코스피 자본시장 활성화 정책 등이 낮은 멀티플을 정상화하는 기폭제 될 것으로 전망; K자형 수익률 분포, 액티브 투자가 효율적 전략: 주도 업종 중심 상승으로 업종 간 극심한 수익률 편차를 보이는 코스피 유망 산업과 우량 종목을 선별하여 투자하는 액티브 전략이 필요; 리서치센터와 운용역이 함께 투자역량 집중: 인하우스 애널리스트와 장기 초과성과를 추구하는 운용역이 투자 역량 집중 저평가된 코스피의 흐름과 함께 그 이상의 초과성과를 추구","KOSPI 지수","코스피 관련 상장 종목들로 구성된 시장 지수","지급 (지급 기준일 : 1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. 영업일이 아닌 경우 그 직전 영업일) ※ 지급 기준일은 참고사항으로, 실제 지급일은 아래 '분배금 지급현황'을 확인","e2a539371809c83c2eac8e49310f7c6652619e7025b215cd76e0d28b4a823f4e","data/raw/metadata-v2/koact-product-canary/2026-07-21/0193G0.bc53f397e555.json"
"462900","KoAct 바이오헬스케어액티브","2ETFJ9","ok","변화하는 바이오·헬스케어 산업, 이제 액티브하게 투자하세요!","차세대 바이오헬스케어 핵심 기업에 집중 투자: 인구고령화시대 AI시대 기술 융합으로 바이오 헬스 케어 산업은 새로운 국면 돌입; The Next Wave: 이제는 바이오 차례. 글로벌 트렌드와 맞물려 한국 바이오 헬스케어 투자 매력 상승; 세상의 변화를 담은 포트폴리오: 바이오를 넘어 의료기기와 디지털 헬스케어까지 당신의 내일을 위해 꼭 필요한 포트폴리오","iSelect 바이오헬스케어 PR","제약/바이오 산업과 관련된 국내 종목으로 구성된 지수로, 바이오/헬스케어 산업의 성장과 함께 고성장이 가능한 기업들의 성과를 추종하도록 설계","지급 (지급 기준일 : 1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. 영업일이 아닌 경우 그 직전 영업일) ※ 지급 기준일은 참고사항으로, 실제 지급일은 아래 '분배금 지급현황'을 확인","823b6f05e3f33939c159f6f2ef562fc290a73fdaae54ab639efd0dc954a6e745","data/raw/metadata-v2/koact-product/pages/2026-07-21/462900/2026-07-21T07-43-13-825Z.823b6f05e3f33939.json"
"471040","KoAct 글로벌AI&로봇액티브","2ETFL3","ok","AI와 로봇 산업의 미래에, 액티브하게 투자하세요!","AI와 로봇 산업 성장단계별 맞춤 액티브 투자 전략: 빠르게 성장중인 AI와 로봇 산업 기술에 발 빠른 대응을하는 액티브 ETF; 개화되는 AI와 로봇 산업 핵심 글로벌 기업에 집중 투자: 로봇과 AI 기술 적용을 통해 활용 분야가 대폭 확대되는 기업에 투자; 성장의 가능성 큰 AI와 로봇: 인공지능 기술이 만나 새로운 패러다임을 기대","iSelect 글로벌AI&로봇 PR","AI, 로봇 산업과 관련된 글로벌 종목으로 구성된 지수로, 산업의 성장과 함께 고성장이 가능한 기업들의 성과를 추종하도록 설계","지급 (지급 기준일 : 1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. 영업일이 아닌 경우 그 직전 영업일) ※ 지급 기준일은 참고사항으로, 실제 지급일은 아래 '분배금 지급현황'을 확인","2245aa45d49cba62a07ac4881b33774064103e8f5afa44df46b8d9fad02c2dbd","data/raw/metadata-v2/koact-product/pages/2026-07-21/471040/2026-07-21T07-43-15-291Z.2245aa45d49cba62.json"
"475070","KoAct 글로벌친환경전력인프라액티브","2ETFL9","ok","최첨단 기술 시대, 기후테크 인프라 산업 투자는 선택이 아닌 필수!","키워드 필터링과 삼성액티브자산의 리서치를 종합한 종목 선정: 키워드 기반 종목 필터링 > 리서치 > 액티브 포트폴리오 → 지수 대비 알파 추구 삼성액티브자산운용 ESG 평가 점수를 활용한 Negative Screening 적용; 액티브 운용의 강점: 기후테크 인프라 산업은 성장 초기 단계로 산업의 변화가 빠르며, 정책 변화에 민감하기 때문에 발 빠른 대응(액티브 운용)으로 알파 창출 추구; 글로벌 기후테크 인프라 기업에 집중 투자: 저탄소에너지(풍력, 태양광, 수소, 천연가스, 원자력), 전기차, ESS, 가상발전소, CCUS(탄소포집저장활용) 등 탄소 감축 기술을 가진 기후테크 기업에 투자 낙후된 선진국 인프라 재건과 전후 복구사업은 저탄소에너지를 중심으로 전개될 전망으로, 전력 인프라, 재생에너지 발전소 건설 등과 관련된 핵심 인프라 기업에 투자","Solactive 글로벌친환경전력인프라 PR 지수","신재생 등 기후테크와 인프라 산업과 관련된 글로벌 종목으로 구성된 지수로, 산업의 성장과 함께 고성장이 가능한 기업들의 성과를 추종하도록 설계","지급 (지급 기준일 : 1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. 영업일이 아닌 경우 그 직전 영업일) ※ 지급 기준일은 참고사항으로, 실제 지급일은 아래 '분배금 지급현황'을 확인","8dc39ffacb8b285202df5626484f6d0c092b58cac821efb312cf8dfe3c509db2","data/raw/metadata-v2/koact-product/pages/2026-07-21/475070/2026-07-21T07-43-16-783Z.8dc39ffacb8b2852.json"
"476850","KoAct 배당성장액티브","2ETFM2","ok","미래 배당의 확대 가능성에 더 주목하여 한국 배당성장주에 투자하는 ETF","배당이 지속 확대되는 배당성장주에 투자: 배당지급횟수 및 배당수익률 점검을 통해 주주환원 개선 의지가 있는 기업에 투자; 주주환원이 증가하는 기업 선별: 금융, 화학 전자 등 산업 전반의 수혜주에 투자하는 포트폴리오 구성; 현금흐름 개선 및 ROE 우수기업에 집중: 현금 흐름의 개선을 통해 주주환원율을 높일 의지와 역량을 바탕으로 ROE가 성장하는 기업에 투자","코스피 지수","한국거래소 유가증권시장에 상장된 기업의 주식가격에 주식수를 가중평균하여 시가총액방식으로 지수 산출","지급 (월지급) *매월 마지막영업일 분배금지급 기준일","1451e3c47e734c9c86cf76f29395c184ea4a76ec673ed4cebfa42f2bb079304f","data/raw/metadata-v2/koact-product/pages/2026-07-21/476850/2026-07-21T07-43-18-262Z.1451e3c47e734c9c.json"
"482030","KoAct 반도체&2차전지핵심소재액티브","2ETFM8","ok","기술혁신과 함께 성장하는 반도체, 2차전지 산업 내 소재 및 공급망에 투자하는 ETF","국내 테크소재와 원재료 공급망에 투자: 반도체/IT, 2차전지 산업의 기술 발전에 따라 테크소재 수요 지속 증대 테크 소재의 원재료는 점차 다변화 되고 있으며, 관련 공급망도 확대 중 정부의 핵심소재 및 자원 자립화 정책 방향성과 일치; 삼성액티브자산의 리서치를 종합한 종목 선정: 리서치 > 액티브 포트폴리오 → 지수 대비 알파 추구; 액티브 운용의 강점: 업계 최고 수준의 인하우스 리서치 인력 보유 섹터 별 인하우스 리서치 인력을 활용해 광범위한 종목발굴과 발 빠른 대응(액티브 운용)으로 알파 창출","iSelect 반도체&2차전지핵심소재","반도체, 2차전지 산업 내 소재 및 공급망 관련 사업을 영위하는 종목들로 구성된 테마 지수입니다.","지급 (지급 기준일 : 1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. 영업일이 아닌 경우 그 직전 영업일) ※ 지급 기준일은 참고사항으로, 실제 지급일은 아래 '분배금 지급현황'을 확인","82741b80eaf91525200144bda6ea63844a934495b8bcabc13a33446ab2e54297","data/raw/metadata-v2/koact-product/pages/2026-07-21/482030/2026-07-21T07-43-19-737Z.82741b80eaf91525.json"
"487130","KoAct AI인프라액티브","2ETFN8","ok","AI산업 발전에 꼭 필요한 핵심 인프라에 투자하는 액티브 ETF","AI와 함께 새로운 사이클로 접어든 반도체: AI시대에서 반도체 수혜는 HBM을 넘어, 메모리 전반과 온디바이스 등으로 확대될 것; 일반 검색 대비 10배의 전력이 필요한 생성형 AI: 전력밀도가 큰 폭 증가하는 AI 데이터센터는 기존 데이터센터 대비 5배 이상의 변압기가 필요; 데이터센터의 성능을 좌우하는 네트워크 기술: 고성능 데이터센터의 상용화는 그에 걸맞는 네트워크 장비와 운영/보안에 대한 기술이 필요","Solactive AI인프라 지수","기반 인프라/반도체/네트워크 관련 산업을 영위하는 종목들로 구성된 테마 지수로, Factset의 RBICS 기반으로 종목 선정하여 구성한 지수","지급 (지급 기준일 : 1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. 영업일이 아닌 경우 그 직전 영업일) ※ 지급 기준일은 참고사항으로, 실제 지급일은 아래 '분배금 지급현황'을 확인","d8b5f6c672382b33a5384529b7958dd552e3dc097d33ffcb7485f3cdb4c49449","data/raw/metadata-v2/koact-product/pages/2026-07-21/487130/2026-07-21T07-43-21-321Z.d8b5f6c672382b33.json"
"490330","KoAct 미국치매&뇌질환치료제액티브","2ETFO5","ok","고령화 시대에 필수적인 뇌질환 치료제에 투자하는 국내 유일 액티브 ETF","인구 고령화에 따라 뇌질환은 지속 증가할 전망: 퇴행성 뇌질환(치매, 파킨슨병)과 정신질환(조현병 등)은 60대 이상에서 발병률이 증가; 진단 기술 발전으로 앞당겨진 블록버스터 신약 개발: 뇌 이미징 기술과 AI의 발전으로 불가능했던 분야에 대한 임상 데이터를 빠르게 축적; 국내 최초로 상장하는 유일한 뇌질환 액티브 ETF: 바이오 분야에서도 새로운 뇌질환 치료제에 대한 투자는 액티브 ETF가 유리할 것으로 전망","Solactive 미국치매&뇌질환치료제 PR 지수","뇌질환 치료제와 관련된 산업을 영위하는 미국 상장 종목들로 구성된 테마 지수로, Factset RBICS와 ARTIS 키워드 방식으로 종목 선정하여 구성한 지수","지급 (지급 기준일 : 1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. 영업일이 아닌 경우 그 직전 영업일) ※ 지급 기준일은 참고사항으로, 실제 지급일은 아래 '분배금 지급현황'을 확인","ca653e0b3cc0e996db57039057abb75e89c76f8df5dd6c5db8d6d4741b33a894","data/raw/metadata-v2/koact-product/pages/2026-07-21/490330/2026-07-21T07-43-22-802Z.ca653e0b3cc0e996.json"
"495230","KoAct 코리아밸류업액티브","2ETFP3","ok","코리아 밸류업 지수를 재해석한 코액트만의 '밸류업' 액티브 ETF","코리아 밸류업 지수의 재해석: 밸류업 지수를 명확하게 재해석한 사이다 같은 포트폴리오; Active한 밸류업 투자, 액티브 투자는 KoAct ETF: 세상의 변화에 투자하는 KoAct, 그 중 주주환원 확대/지배구조 개선 등 가치의 변화에 대한 투자를 목표; Active의 장점을 살린 과감한 종목 편입/편출: 산업 트렌드에 따른 업종 비중 조절과 지수 내 종목뿐만이 아닌 편입이 예상되는 종목도 포함하는 포트폴리오 구성","코리아 밸류업 PR 지수","코리아 밸류업 지수는 기업 밸류업 프로그램 및 한국 증시에서의 기업 가치 중시 선순환 구조 정착을 지원하기 위한 목적으로 개발된 지수로, 시가총액 및 거래대금 등 규모 요건 이외에 수익성, 주주환원, 시장평가, 자본효율성 등 다양한 질적요건을 충족하는 대표 기업들로 구성함. 주주가치 제고 및 주가 재평가가 기대되는 기업에 투자하며, 향후 국내 자본시장 선순환 구조 정착 및 코리아 디스카운트 해소에 따른 수익을 기대함.","지급 (월지급)","416a6ebddbef24e53eceb3a16be3569a7792c79df69f2ad3aab5fc9f938fe0f2","data/raw/metadata-v2/koact-product/pages/2026-07-21/495230/2026-07-21T07-43-24-269Z.416a6ebddbef24e5.json"
"497780","KoAct 미국천연가스인프라액티브","2ETFO9","ok","미국 천연가스 밸류체인에 투자하는 액티브 ETF","전력 수요 증가에 대응하는 가스 밸류체인에 투자: 전력 수요 증가로 가스 발전 활용 증가에 따라 수혜 받는 천연가스 산업에 투자; 화석연료 중 친환경적인 천연가스: 다른 화석연료 발전 대비 낮은 탄소 배출량으로 에너지 전환 국면 중간단계 에너지원으로 활용; 안정적인 현금흐름에 기반한 배당주 투자: 천연가스 가격이 아닌 물동량에 기반한 사업구조로 안정적인 이익 성장","Solactive 미국천연가스인프라 지수","미국 천연가스인프라와 관련된 산업을 영위하는 미국 상장 종목들로 구성된 테마 지수","지급 (월지급)","be0751abc0d174c87b21296876ba7094791f06daee922aa89300204d1066af5f","data/raw/metadata-v2/koact-product/pages/2026-07-21/497780/2026-07-21T07-43-25-723Z.be0751abc0d174c8.json"
