shortlistNumber,etfCode,name,decision,currentTagIds,finalTagIds,note,missingEvidence,nextAction,reviewer,reviewedAt,reviewedAgainstHash
11,0192T0,SOL 코스닥TOP10,insufficient,sector.healthcare_bio_pharma|sector.ev_battery|sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,sector.healthcare_bio_pharma|sector.ev_battery|sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,바이오·배터리·반도체 태그 확정 보류.,세부 섹터별 편입비중 임계값 정책,TOP10 광범위 지수에 세부 섹터 태그를 허용하는 최소 비중 결정,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,7224297635e3e5d7eb73d1a89fd401a9728a7accd97a62928bd058946bed66e1
12,234310,RISE V&S셀렉트밸류,correct,strategy.value|asset.equity|region.domestic_kr|strategy.passive_index,strategy.value|asset.equity|region.domestic_kr|strategy.passive_index,AI 권고 승인: 지수 방법론 확인 후 가치주 태그 유지 검토,,,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,d4f88f2271d087414c259c2d8875a1c664db104b6adcd6513569d70236d84055
13,376410,TIGER 탄소효율그린뉴딜,correct,asset.equity|region.domestic_kr|strategy.passive_index|strategy.esg_screening,asset.equity|region.domestic_kr|strategy.passive_index|strategy.esg_screening,AI 권고 승인: ESG는 유지하되 클린에너지는 추가하지 않음,,,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,59abddd66e7d0f6f011cf25e9fc00044cc2f3ecb4989b704c593f717f91fd947
14,0152E0,SOL 배당성향탑픽액티브,correct,dividend.korea_high_dividend|sector.financials|strategy.active|asset.equity|region.domestic_kr,dividend.korea_high_dividend|sector.financials|strategy.active|asset.equity|region.domestic_kr,AI 권고 승인: 고배당·금융 태그 유지 및 신뢰도 상향 검토,,,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,4d93fd26032c8c74c03b36538b54795c9803706c37ee19eacf84c3602815591a
15,487130,KoAct AI인프라액티브,insufficient,sector.semiconductor|sector.ai_power_infrastructure|strategy.active|asset.equity|region.domestic_kr,sector.semiconductor|sector.ai_power_infrastructure|strategy.active|asset.equity|region.domestic_kr,"반도체는 유지, AI 전력 태그만 확정 보류.",AI 전력 인프라 태그의 최소 편입비중,운용목표와 실제 보유비중 중 어느 근거를 우선할지 정책 결정,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,fafc4ea41ee62d8a004132b13812a945dbe641fa876cce90180873f5f7f1dd82
16,469070,RISE AI&로봇,correct,asset.equity|region.domestic_kr|strategy.passive_index|sector.robotics,asset.equity|region.domestic_kr|strategy.passive_index|sector.robotics,AI 권고 승인: 로봇 태그 유지 및 신뢰도 상향 검토,,,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,7ad422bbfcbc3d9f760795f17637b7e12541af989f3b73ce4e3222d84152efac
17,157490,TIGER 소프트웨어,insufficient,sector.it|sector.game_entertainment_media|asset.equity|region.domestic_kr|strategy.passive_index,sector.it|sector.game_entertainment_media|asset.equity|region.domestic_kr|strategy.passive_index,"IT는 유지, 게임·미디어 태그만 확정 보류.",게임·미디어 편입비중과 섹터 태그 임계값,IT 하위 다중 섹터 허용 기준 결정,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,a62618dc8952c9cf6dccd40d7cdebde7ae0652b9fc23eaa2921e85777cf6e5b2
18,227550,TIGER 200 산업재,correct,sector.aerospace_defense|asset.equity|region.domestic_kr|strategy.passive_index|strategy.benchmark.kospi200,sector.aerospace_defense|asset.equity|region.domestic_kr|strategy.passive_index|strategy.benchmark.kospi200,"AI 권고 승인: 방산은 근거 확인, 운송은 대리 태그로 추가하지 않음",,,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,aff19ca6bd3634b163630645c9f5b08fa6afba8e30f3b046aa8c065ed9433ee0
19,458750,TIGER 미국배당다우존스타겟커버드콜1호,correct,dividend.covered_call|region.us|asset.equity|strategy.passive_index,dividend.covered_call|region.us|asset.equity|strategy.passive_index,AI 권고 승인: monthly·커버드콜 근거 유지; 쌍둥이 상품 458760은 별도 중복 검토 생략,,,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,540ed37d1bce62310d4ed2616f0e3a6a144e03353e4b1c2cd1c6b52b1c9f3fd5
20,474220,TIGER 미국테크TOP10타겟커버드콜,correct,dividend.covered_call|region.us|asset.equity|strategy.passive_index,dividend.covered_call|region.us|asset.equity|strategy.passive_index,AI 권고 승인: monthly·커버드콜 근거 유지 검토,,,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,667d648d9b66e4200dd07c8939be7fd403cd9a60162b4a0408ff83b2233ed63e
21,484880,SOL 금융지주플러스고배당,correct,sector.financials|dividend.korea_high_dividend|asset.equity|region.domestic_kr|strategy.passive_index,sector.financials|dividend.korea_high_dividend|asset.equity|region.domestic_kr|strategy.passive_index,AI 권고 승인: 현재 태그와 보유종목·기초지수 근거의 일치 여부 확인,,,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,749a0594eed2350c137b5161b3b2d4731928aec5edf591ffb8fab88a0e07b962
22,0098N0,PLUS 자사주매입고배당주,correct,dividend.korea_high_dividend|sector.financials|asset.equity|region.domestic_kr|strategy.passive_index,dividend.korea_high_dividend|sector.financials|asset.equity|region.domestic_kr|strategy.passive_index,AI 권고 승인: 현재 태그와 보유종목·기초지수 근거의 일치 여부 확인,,,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,945b0da36b31cc8c63384084b5240638c116481e5451d0485e866d4e1b1f4044
23,0103T0,1Q K소버린AI,correct,sector.it|asset.equity|region.domestic_kr|strategy.passive_index,sector.it|asset.equity|region.domestic_kr|strategy.passive_index,AI 권고 승인: 현재 태그와 보유종목·기초지수 근거의 일치 여부 확인,,,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,5c31a0338d0dcec5b00f9bf847732fe8087df96a3ef23e1c4c3927c715f5e3c4
24,0190C0,RISE 현대차고정피지컬AI,correct,asset.equity|region.domestic_kr|strategy.passive_index|sector.robotics,asset.equity|region.domestic_kr|strategy.passive_index|sector.robotics,AI 권고 승인: 현재 태그와 보유종목·기초지수 근거의 일치 여부 확인,,,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,e484c6366c630e6319bcdc71e9a70d52a30a6373fa4a5f38eb51eafe02c442cb
